"","Code","Texte","Regroupement"
"1345","DELF901","Implantation souscutanée d'un stimulateur cardiaque définitif, avec pose d'une sonde dans le sinus coronaire et d'une sonde dans une veine cardiaque gauche par voie veineuse transcutanée","ATM"
"1346","DELF012","Implantation souscutanée d'un stimulateur cardiaque définitif, avec pose d'une sonde dans une veine cardiaque gauche par voie veineuse transcutanée","ATM"
"1347","DELF223","Implantation d’un stimulateur cardiaque définitif dans le ventricule droit par voie veineuse transcutanée","ATM"
"1348","DELA003","Implantation sousucutanée d'un stimulateur cardiaque avec pose d'électrode épicardique ventriculaire pour stimulation définitive, par abord direct","ADC"
"1349","DELA001","Implantation souscutanée d'un stimulateur cardiaque avec pose d'électrodes épicardiques atriale et ventriculaire pour stimulation définitive, par abord direct","ADC"
"1350","DELF086","Implantation souscutanée d'un défibrillateur cardiaque avec pose d'une sonde souscutanée","ATM"
"1351","DELF013","Implantation souscutanée d'un défibrillateur cardiaque automatique, avec pose d'une sonde intraventriculaire droite par voie veineuse transcutanée","ATM"
"1352","DELF020","Implantation souscutanée d'un défibrillateur cardiaque automatique, avec pose d'une sonde intraventriculaire droite et d'une sonde dans une veine cardiaque gauche par voie veineuse transcutanée","ATM"
"1353","DELF014","Implantation souscutanée d'un défibrillateur cardiaque automatique, avec pose d'une sonde intraatriale et d'une sonde intraventriculaire droites, et d'une sonde dans une veine cardiaque gauche par voie veineuse transcutanée","ATM"
"1354","DELF016","Implantation souscutanée d'un défibrillateur cardiaque automatique sans fonction de défibrillation atriale, avec pose d'une sonde intraatriale et d'une sonde intraventriculaire droites par voie veineuse transcutanée","ATM"
"1355","DELF900","Implantation souscutanée d'un défibrillateur cardiaque automatique avec fonction de défibrillation atriale, avec pose d'une sonde intraatriale et d'une sonde intraventriculaire droites par voie veineuse transcutanée","ATM"
"1356","DELA004","Implantation souscutanée d'un défibrillateur cardiaque avec pose d'électrode épicardique, par abord direct","ADC"
"1357","DEEF001","Repositionnement de sonde définitive intracavitaire de stimulation cardiaque, par voie veineuse transcutanée","ATM"
"1358","DEEF002","Repositionnement de sonde définitive intracavitaire de défibrillation cardiaque, par voie veineuse transcutanée","ATM"
"1359","DEEA001","Repositionnement souscutané d'un générateur implantable de stimulation ou de défibrillation cardiaque","ADC"
"1360","DEGF004","Ablation d'une sonde définitive intracavitaire de stimulation ou de défibrillation cardiaque sans utilisation de dispositif spécifique, par voie veineuse transcutanée","ATM"
"1361","DEGF001","Ablation d'une sonde définitive intracavitaire de stimulation ou de défibrillation cardiaque avec utilisation de dispositif spécifique, par voie veineuse transcutanée","ATM"
"1362","DEGF002","Ablation de plusieurs sondes définitives intracavitaires de stimulation cardiaque sans utilisation de dispositif spécifique, par voie veineuse transcutanée","ATM"
"1363","DEGF003","Ablation de plusieurs sondes définitives intracavitaires de stimulation cardiaque avec utilisation de dispositif spécifique, par voie veineuse transcutanée","ATM"
"1364","DEGF006","Ablation d'une sonde définitive intracavitaire de défibrillation et d'une sonde définitive intracavitaire de stimulation cardiaque sans utilisation de dispositif spécifique, par voie veineuse transcutanée","ATM"
"1365","DEGF005","Ablation d'une sonde définitive intracavitaire de défibrillation et d'une sonde définitive intracavitaire de stimulation cardiaque avec utilisation de dispositif spécifique, par voie veineuse transcutanée","ATM"
"1366","DEGA002","Ablation d'électrode épicardique définitive, par thoracotomie","ADC"
"1367","DELF017","Pose d'une sonde supplémentaire de stimulation cardiaque, par voie veineuse transcutanée","ATM"
"1368","DELF019","Pose de plusieurs sondes supplémentaires de stimulation cardiaque, par voie veineuse transcutanée","ATM"
"1369","DELF018","Pose d'une sonde supplémentaire de défibrillation cardiaque, par voie veineuse transcutanée","ATM"
"1370","DELA006","Implantation souscutanée d'un générateur de stimulation cardiaque","ADC"
"1371","DELA007","Implantation souscutanée d'un générateur de défibrillation cardiaque","ADC"
"1372","DEGA003","Ablation d'un générateur souscutané de stimulation ou de défibrillation cardiaque implantable","ADC"
"1373","DEGF207","Ablation d'un stimulateur cardiaque définitif implanté dans le ventricule droit par voie veineuse transcutanée","ATM"
"1374","DEKA001","Changement d'un générateur souscutané de stimulation cardiaque implantable","ADC"
"1375","DEKA002","Changement d'un générateur souscutané de défibrillation cardiaque implantable","ADC"
"1376","DEMP002","Contrôle et réglage transcutané secondaires d'un stimulateur cardiaque","ATM"
"1377","DEMP001","Contrôle et réglage transcutané secondaires d'un défibrillateur cardiaque","ATM"
"1378","DERP001","Déclenchement de fibrillation ou de tachycardie ventriculaire, pour contrôle et mesure du seuil de défibrillation chez un porteur de défibrillateur","ATM"
"1379","DEPF010","Interruption de la voie lente ou de la voie rapide de la jonction atrioventriculaire avec courant de radiofréquence, par voie veineuse transcutanée","ATM"
"1380","DEPF006","Interruption complète du tissu nodal de la jonction atrioventriculaire avec courant de radiofréquence, par voie veineuse transcutanée","ATM"
"1381","DEPF005","Interruption complète d'une voie accessoire de conduction cardiaque avec courant de radiofréquence, par voie vasculaire transcutanée","ATM"
"1382","DEPF004","Interruption complète de plusieurs voies accessoires de conduction cardiaque avec courant de radiofréquence, par voie vasculaire transcutanée","ATM"
"1383","DEPF012","Interruption complète de circuit arythmogène au niveau de l'isthme cavotricuspidien avec courant de radiofréquence, par voie veineuse transcutanée","ATM"
"1384","DEPF025","Interruption complète de circuit arythmogène en dehors de l'isthme cavotricuspidien avec courant de radiofréquence, par voie veineuse transcutanée","ATM"
"1385","DEPF014","Interruption complète de circuit arythmogène en dehors de l'isthme cavotricuspidien avec courant de radiofréquence, par voie veineuse transcutanée et voie transseptale","ATM"
"1386","DEPF033","Interruption complète de circuit arythmogène au niveau de l'ostium des veines pulmonaires avec courant de radiofréquence, par voie veineuse transcutanée et voie transseptale","ATM"
"1387","DENF017","Destruction d'un foyer arythmogène atrial avec courant de radiofréquence, par voie veineuse transcutanée","ATM"
"1388","DENF014","Destruction d'un foyer arythmogène atrial avec courant de radiofréquence, par voie veineuse transcutanée et voie transseptale","ATM"
"1389","DENF021","Destruction de plusieurs foyers arythmogènes atriaux avec courant de radiofréquence, par voie veineuse transcutanée","ATM"
"1390","DENF018","Destruction de plusieurs foyers arythmogènes atriaux avec courant de radiofréquence, par voie veineuse transcutanée et voie transseptale","ATM"
"1391","DENF015","Destruction d'un foyer ou interruption d'un circuit arythmogène ventriculaire avec courant de radiofréquence, par voie vasculaire transcutanée","ATM"
"1392","DENF035","Destruction de plusieurs foyers et/ou interruption de plusieurs circuits arythmogènes ventriculaires avec courant de radiofréquence, par voie vasculaire transcutanée","ATM"
"1393","DEFA002","Exérèse ou destruction de foyer arythmogène ou de faisceau cardionecteur pour tachycardie supraventriculaire, par thoracotomie avec CEC",NA
"1394","DEFA001","Exérèse ou destruction de foyer arythmogène pour tachycardie ventriculaire, par thoracotomie avec CEC",NA
"1395","DERP005","Stimulation cardiaque temporaire transcutanée","ATM"
"1396","DERF003","Stimulation électrique temporaire de l'oreillette pour interrompre une tachycardie supraventriculaire, par voie veineuse transcutanée","ATM"
"1397","DERD001","Stimulation électrique temporaire de l'oreillette par voie œsophagienne, pour interrompre une tachycardie supraventriculaire","ATM"
"1398","DERF004","Stimulation électrique temporaire de l'oreillette et/ou du ventricule pour interrompre une tachycardie ventriculaire, par voie vasculaire transcutanée","ATM"
"1399","DERP003","Choc électrique cardiaque transcutané [Cardioversion externe], en dehors de l'urgence","ATM"
"1400","DERP004","Choc électrique cardiaque transcutané [Cardioversion externe], en urgence","ATM"
"1401","DERF001","Choc électrique cardiaque à basse énergie, par voie vasculaire transcutanée","ATM"
"1402","DERF002","Choc électrique cardiaque à haute énergie, par voie vasculaire transcutanée","ATM"
"1403","DDAF001","Dilatation intraluminale d'un vaisseau coronaire sans pose d'endoprothèse, par voie artérielle transcutanée","ATM"
"1404","DDAF006","Dilatation intraluminale d'un vaisseau coronaire avec pose d'endoprothèse, par voie artérielle transcutanée","ATM"
"1405","DDAF004","Dilatation intraluminale de 2 vaisseaux coronaires avec pose d'endoprothèse, par voie artérielle transcutanée","ATM"
"1406","DDAF003","Dilatation intraluminale de 3 vaisseaux coronaires ou plus avec pose d'endoprothèse, par voie artérielle transcutanée","ATM"
"1407","DDAF010","Dilatation intraluminale d'un vaisseau coronaire avec artériographie coronaire, sans pose d'endoprothèse, par voie artérielle transcutanée","ATM"
"1408","DDAF008","Dilatation intraluminale d'un vaisseau coronaire avec artériographie coronaire, avec pose d'endoprothèse, par voie artérielle transcutanée","ATM"
"1409","DDAF007","Dilatation intraluminale de 2 vaisseaux coronaires avec artériographie coronaire, avec pose d'endoprothèse, par voie artérielle transcutanée","ATM"
"1410","DDAF009","Dilatation intraluminale de 3 vaisseaux coronaires ou plus avec artériographie coronaire, avec pose d'endoprothèse, par voie artérielle transcutanée","ATM"
"1411","DDMA025","Revascularisation coronaire par un greffon artériel avec une anastomose distale, par thoracotomie sans CEC","ADC"
"1412","DDMA015","Revascularisation coronaire par un greffon artériel avec une anastomose distale, par thoracotomie avec CEC","ADC"
"1413","DDMA023","Revascularisation coronaire par un greffon artériel avec 2 anastomoses distales, par thoracotomie sans CEC","ADC"
"1414","DDMA017","Revascularisation coronaire par un greffon artériel avec 2 anastomoses distales, par thoracotomie avec CEC","ADC"
"1415","DDMA032","Revascularisation coronaire par un greffon artériel et par greffon veineux avec 2 anastomoses distales, par thoracotomie sans CEC","ADC"
"1416","DDMA011","Revascularisation coronaire par un greffon artériel et par greffon veineux avec 2 anastomoses distales, par thoracotomie avec CEC","ADC"
"1417","DDMA029","Revascularisation coronaire par un greffon artériel et par greffon veineux avec 3 anastomoses distales, par thoracotomie sans CEC","ADC"
"1418","DDMA018","Revascularisation coronaire par un greffon artériel et par greffon veineux avec 3 anastomoses distales, par thoracotomie avec CEC","ADC"
"1419","DDMA038","Revascularisation coronaire par un greffon artériel et par greffon veineux avec 4 anastomoses distales ou plus, par thoracotomie sans CEC","ADC"
"1420","DDMA021","Revascularisation coronaire par un greffon artériel et par greffon veineux avec 4 anastomoses distales ou plus, par thoracotomie avec CEC","ADC"
"1421","DDMA026","Revascularisation coronaire par 2 greffons artériels avec 2 anastomoses distales, par thoracotomie sans CEC","ADC"
"1422","DDMA020","Revascularisation coronaire par 2 greffons artériels avec 2 anastomoses distales, par thoracotomie avec CEC","ADC"
"1423","DDMA031","Revascularisation coronaire par 2 greffons artériels avec 3 anastomoses distales, par thoracotomie sans CEC","ADC"
"1424","DDMA006","Revascularisation coronaire par 2 greffons artériels avec 3 anastomoses distales, par thoracotomie avec CEC","ADC"
"1425","DDMA033","Revascularisation coronaire par 2 greffons artériels avec 4 anastomoses distales ou plus, par thoracotomie sans CEC","ADC"
"1426","DDMA008","Revascularisation coronaire par 2 greffons artériels avec 4 anastomoses distales ou plus, par thoracotomie avec CEC","ADC"
"1427","DDMA022","Revascularisation coronaire par 2 greffons artériels et par greffon veineux avec 3 anastomoses distales, par thoracotomie sans CEC","ADC"
"1428","DDMA005","Revascularisation coronaire par 2 greffons artériels et par greffon veineux avec 3 anastomoses distales, par thoracotomie avec CEC","ADC"
"1429","DDMA034","Revascularisation coronaire par 2 greffons artériels et par greffon veineux avec 4 anastomoses distales ou plus, par thoracotomie sans CEC","ADC"
"1430","DDMA009","Revascularisation coronaire par 2 greffons artériels et par greffon veineux avec 4 anastomoses distales ou plus, par thoracotomie avec CEC","ADC"
"1431","DDMA030","Revascularisation coronaire par 3 greffons artériels avec 3 anastomoses distales, par thoracotomie sans CEC","ADC"
"1432","DDMA003","Revascularisation coronaire par 3 greffons artériels avec 3 anastomoses distales, par thoracotomie avec CEC","ADC"
"1433","DDMA035","Revascularisation coronaire par 3 greffons artériels avec 4 anastomoses distales ou plus, par thoracotomie sans CEC","ADC"
"1434","DDMA013","Revascularisation coronaire par 3 greffons artériels avec 4 anastomoses distales ou plus, par thoracotomie avec CEC","ADC"
"1435","DDMA036","Revascularisation coronaire par 3 greffons artériels et par greffon veineux avec 4 anastomoses distales ou plus, par thoracotomie sans CEC","ADC"
"1436","DDMA012","Revascularisation coronaire par 3 greffons artériels et par greffon veineux avec 4 anastomoses distales ou plus, par thoracotomie avec CEC","ADC"
"1437","DDMA028","Revascularisation coronaire par greffon veineux avec une anastomose distale, par thoracotomie sans CEC","ADC"
"1438","DDMA007","Revascularisation coronaire par greffon veineux avec une anastomose distale, par thoracotomie avec CEC","ADC"
"1439","DDMA024","Revascularisation coronaire par greffon veineux avec 2 anastomoses distales, par thoracotomie sans CEC","ADC"
"1440","DDMA019","Revascularisation coronaire par greffon veineux avec 2 anastomoses distales, par thoracotomie avec CEC","ADC"
"1441","DDMA027","Revascularisation coronaire par greffon veineux avec 3 anastomoses distales, par thoracotomie sans CEC","ADC"
"1442","DDMA016","Revascularisation coronaire par greffon veineux avec 3 anastomoses distales, par thoracotomie avec CEC","ADC"
"1443","DDMA037","Revascularisation coronaire par greffon veineux avec 4 anastomoses distales ou plus, par thoracotomie sans CEC","ADC"
"1444","DDMA004","Revascularisation coronaire par greffon veineux avec 4 anastomoses distales ou plus, par thoracotomie avec CEC","ADC"
"1445","DDPF002","Recanalisation d'artère coronaire avec pose d'endoprothèse, par voie artérielle transcutanée","ATM"
"1446","DDFF002","Athérectomie intraluminale d'artère coronaire, par voie artérielle transcutanée","ATM"
"1447","DDFF001","Athérectomie intraluminale d'artère coronaire par méthode rotatoire [rotationnelle], par voie artérielle transcutanée","ATM"
"1448","DDSF001","Embolisation ou fermeture d'une fistule ou d'un anévrisme coronaire, par voie vasculaire transcutanée","ATM"
"1449","DDLF001","Injection in situ d'agent pharmacologique dans une branche d'artère coronaire pour réduction de l'épaisseur du septum interventriculaire, par voie artérielle transcutanée","ATM"
"1450","DDAA002","Angioplastie d'élargissement du tronc commun de l'artère coronaire gauche, par thoracotomie avec CEC","ADC"
"1451","DCJB002","Évacuation d'une collection du péricarde, par voie transcutanée","ATM"
"1452","DCJB001","Drainage d'une collection du péricarde, par voie transcutanée","ATM"
"1453","DCJA001","Drainage d'une collection du péricarde, par thoracotomie ou par abord infraxiphoïdien","ADC"
"1454","DCMC001","Création d'une fenêtre péricardopleurale, par thoracoscopie","ADC"
"1455","DCMA001","Création d'une fenêtre péricardopéritonéale, par abord infraxiphoïdien","ADC"
"1456","DCFA001","Péricardectomie subtotale, par thoracotomie","ADC"
"1457","DZFA001","Prélèvement du cœur, au cours d'un prélèvement multiorgane sur un sujet en état de mort encéphalique","ADC"
"1458","DZFA002","Prélèvement du cœur pour préparation de greffe orificielle, au cours d'un prélèvement multiorgane sur un sujet en état de mort encéphalique","ADC"
"1459","DZFA003","Prélèvement du bloc cœur-poumons, au cours d'un prélèvement multiorgane sur un sujet en état de mort encéphalique","ADC"
"1460","DZEA002","Transplantation orthotopique du cœur, par thoracotomie avec CEC","ADC"
"1461","DZEA003","Transplantation hétérotopique du cœur, par thoracotomie avec CEC","ADC"
"1462","DZEA001","Transplantation itérative du cœur, par thoracotomie avec CEC","ADC"
"1463","DZEA004","Transplantation du bloc cœur-poumons, par thoracotomie avec CEC","ADC"
"1464","DZFA004","Exérèse d'un greffon de transplantation du cœur avec pose d'une assistance circulatoire mécanique biventriculaire interne, par thoracotomie avec CEC","ADC"
"1465","EQRP001","Séance de réentraînement cardiaque et/ou vasculaire progressif à l'effort sur machine","ATM"
"1466","DKRP001","Séance de réentraînement cardiaque et/ou vasculaire progressif à l'effort sur machine et à la réalisation de tâches de la vie quotidienne","ATM"
"1467","DKRP003","Séance de réentraînement cardiaque et/ou vasculaire progressif à l'effort sur machine et à l'activité sportive collective","ATM"
"1468","DKRP002","Séance de réentraînement cardiaque et/ou vasculaire progressif à l'effort sur machine, à la réalisation de tâches de la vie quotidienne et à l'activité sportive collective","ATM"
"1469","DKRP005","Séance de réentraînement d'un insuffisant cardiaque à l'effort sur machine","ATM"
"1470","DGCA025","Suture latérale de plaie de l'aorte thoracique, par thoracotomie sans CEC","ADC"
"1471","DGCA017","Suture latérale de plaie de l'aorte thoracique, par thoracotomie avec CEC","ADC"
"1472","DGCA002","Suture d'une rupture de l'isthme de l'aorte, par thoracotomie sans CEC","ADC"
"1473","DGCA006","Suture d'une rupture de l'isthme de l'aorte, par thoracotomie avec CEC","ADC"
"1474","DGAF001","Dilatation intraluminale de l'aorte thoracique sans pose d'endoprothèse, par voie artérielle transcutanée","ATM"
"1475","DGAF007","Dilatation intraluminale de l'aorte thoracique avec pose d'endoprothèse, par voie artérielle transcutanée","ATM"
"1476","DGLF003","Pose d'endoprothèse couverte dans l'aorte thoracique, par voie artérielle transcutanée","ATM"
"1477","DGPA014","Désobstruction d'une prothèse de l'aorte thoracique, par thoracotomie","ADC"
"1478","DGFA002","Thromboendartériectomie de l'aorte thoracique horizontale et des troncs supraaortiques, par thoracotomie avec CEC","ADC"
"1479","DGCA031","Pontage entre l'aorte thoracique ascendante et l'aorte thoracique descendante, par thoracotomie sans CEC","ADC"
"1480","DGCA028","Pontage entre l'aorte thoracique ascendante et l'aorte thoracique descendante, par thoracotomie avec CEC","ADC"
"1481","DGCA015","Pontage entre l'aorte thoracique ascendante et l'aorte abdominale sans exclusion de l'aorte thoracique descendante, par thoracotomie et par laparotomie sans CEC","ADC"
"1482","DGCA027","Pontage entre l'aorte thoracique ascendante et l'aorte abdominale sans exclusion de l'aorte thoracique descendante, par thoracotomie et par laparotomie avec CEC","ADC"
"1483","DGCA008","Pontage entre l'aorte thoracique ascendante et l'aorte abdominale avec exclusion de l'aorte thoracique descendante, par thoracotomie et par laparotomie sans CEC","ADC"
"1484","DGCA023","Pontage entre l'aorte thoracique descendante ou l'aorte juxtadiaphragmatique et l'aorte abdominale infrarénale, par thoraco-phréno-laparotomie sans CEC","ADC"
"1485","DGCA003","Pontage rétropéritonéal entre l'aorte thoracique descendante et les artères fémorales, par abord direct","ADC"
"1486","DGCA013","Pontages multiples entre l'aorte et les troncs supraaortiques, par thoracotomie sans CEC","ADC"
"1487","DGCA011","Pontages multiples entre l'aorte et les troncs supraaortiques, par thoracotomie avec CEC","ADC"
"1488","DGAA006","Angioplastie d'élargissement de l'aorte thoracique horizontale sans réimplantation des troncs supraaortiques, par thoracotomie avec CEC","ADC"
"1489","DGAA003","Angioplastie d'élargissement de l'aorte thoracique horizontale avec réimplantation des troncs supraaortiques, par thoracotomie avec CEC","ADC"
"1490","DGFA019","Résection-anastomose de l'aorte thoracique descendante ou de l'aorte juxtadiaphragmatique, par thoracotomie sans dérivation vasculaire ni CEC","ADC"
"1491","DGFA014","Résection-anastomose de l'aorte thoracique descendante ou de l'aorte juxtadiaphragmatique, par thoracotomie avec dérivation vasculaire","ADC"
"1492","DGFA017","Résection-anastomose de l'aorte thoracique descendante ou de l'aorte juxtadiaphragmatique, par thoracotomie avec CEC","ADC"
"1493","DGKA025","Remplacement de l'aorte thoracique ascendante sans remplacement de la valve aortique, sans réimplantation des artères coronaires, par thoracotomie avec CEC","ADC"
"1494","DGKA003","Remplacement de l'aorte thoracique ascendante sans remplacement de la valve aortique, avec réimplantation des artères coronaires, par thoracotomie avec CEC","ADC"
"1495","DGKA011","Remplacement de l'aorte thoracique ascendante avec remplacement de la valve aortique, sans réimplantation des artères coronaires, par thoracotomie avec CEC","ADC"
"1496","DGKA015","Remplacement de l'aorte thoracique ascendante avec remplacement de la valve aortique, avec réimplantation des artères coronaires, par thoracotomie avec CEC","ADC"
"1497","DGKA001","Remplacement de l'aorte thoracique ascendante et de l'aorte horizontale sans remplacement de la valve aortique, sans réimplantation des artères coronaires, par thoracotomie avec CEC","ADC"
"1498","DGKA026","Remplacement de l'aorte thoracique ascendante et de l'aorte horizontale sans remplacement de la valve aortique, avec réimplantation des artères coronaires, par thoracotomie avec CEC","ADC"
"1499","DGKA018","Remplacement de l'aorte thoracique ascendante et de l'aorte horizontale avec remplacement de la valve aortique, sans réimplantation des artères coronaires, par thoracotomie avec CEC","ADC"
"1500","DGKA014","Remplacement de l'aorte thoracique ascendante et de l'aorte horizontale avec remplacement de la valve aortique, avec réimplantation des artères coronaires, par thoracotomie avec CEC","ADC"
"1501","DGKA005","Remplacement de l'aorte thoracique horizontale, par thoracotomie avec CEC","ADC"
"1502","DGKA002","Remplacement de l'isthme de l'aorte, par thoracotomie sans dérivation vasculaire ni CEC","ADC"
"1503","DGKA019","Remplacement de l'isthme de l'aorte, par thoracotomie avec dérivation vasculaire","ADC"
"1504","DGKA023","Remplacement de l'isthme de l'aorte, par thoracotomie avec CEC","ADC"
"1505","DGKA009","Remplacement de l'aorte thoracique descendante, par thoracotomie sans CEC","ADC"
"1506","DGKA007","Remplacement de l'aorte thoracique descendante, par thoracotomie avec CEC","ADC"
"1507","DGKA013","Remplacement de l'aorte juxtadiaphragmatique, par thoraco-phréno-laparotomie sans dérivation vasculaire ni CEC","ADC"
"1508","DGKA016","Remplacement de l'aorte juxtadiaphragmatique, par thoraco-phréno-laparotomie avec dérivation vasculaire","ADC"
"1509","DGKA010","Remplacement de l'aorte juxtadiaphragmatique, par thoraco-phréno-laparotomie avec CEC","ADC"
"1510","DGKA006","Remplacement de l'aorte thoracique descendante et de l'aorte juxtadiaphragmatique, par thoraco-phréno-laparotomie sans dérivation vasculaire ni CEC","ADC"
"1511","DGKA020","Remplacement de l'aorte thoracique descendante et de l'aorte juxtadiaphragmatique, par thoraco-phréno-laparotomie avec dérivation vasculaire","ADC"
"1512","DGKA008","Remplacement de l'aorte thoracique descendante et de l'aorte juxtadiaphragmatique, par thoraco-phréno-laparotomie avec CEC","ADC"
"1513","DGKA012","Remplacement de l'ensemble de l'aorte thoracique, par thoraco-phréno-laparotomie avec CEC","ADC"
"1514","DGKA028","Remplacement de l'aorte thoracique ascendante pour rupture d'anévrisme, par thoracotomie avec CEC","ADC"
"1515","DGKA027","Remplacement de l'aorte thoracique descendante pour rupture d'anévrisme, par thoracotomie avec CEC","ADC"
"1516","DGKA029","Remplacement de l'aorte juxtadiaphragmatique pour rupture d'anévrisme, par thoraco-phréno-laparotomie avec CEC","ADC"
"1517","DFAF002","Dilatation intraluminale d'une branche de l'artère pulmonaire sans pose d'endoprothèse, par voie veineuse transcutanée","ATM"
"1518","DFAF003","Dilatation intraluminale d'une branche de l'artère pulmonaire avec pose d'endoprothèse, par voie veineuse transcutanée","ATM"
"1519","DFAF004","Dilatation intraluminale de plusieurs branches de l'artère pulmonaire sans pose d'endoprothèse, par voie veineuse transcutanée","ATM"
"1520","DFAF001","Dilatation intraluminale de plusieurs branches de l'artère pulmonaire avec pose d'endoprothèse, par voie veineuse transcutanée","ATM"
"1521","DFNF001","Fibrinolyse in situ de l'artère pulmonaire, par voie veineuse transcutanée","ATM"
"1522","DFNF002","Thrombolyse mécanique ou thromboaspiration de l'artère pulmonaire, par voie veineuse transcutanée","ATM"
"1523","DFFA002","Embolectomie de l'artère pulmonaire, par thoracotomie sans CEC","ADC"
"1524","DFFA001","Embolectomie de l'artère pulmonaire, par thoracotomie avec CEC","ADC"
"1525","DFFA003","Thromboendartériectomie du tronc et/ou des branches de l'artère pulmonaire, par thoracotomie avec CEC","ADC"
"1526","DFSF001","Oblitération d'anévrisme sacculaire de l'artère pulmonaire, par voie veineuse transcutanée","ATM"
"1527","ECCA006","Suture de plaie du tronc artériel brachiocéphalique, par thoracotomie","ADC"
"1528","ECAF003","Dilatation intraluminale du tronc artériel brachiocéphalique ou de l'artère carotide commune intrathoracique sans pose d'endoprothèse, par voie artérielle transcutanée","ATM"
"1529","ECAF004","Dilatation intraluminale du tronc artériel brachiocéphalique ou de l'artère carotide commune intrathoracique avec pose d'endoprothèse, par voie artérielle transcutanée","ATM"
"1530","ECLF004","Pose d'endoprothèse couverte dans le tronc artériel brachiocéphalique ou l'artère carotide commune intrathoracique, par voie artérielle transcutanée","ATM"
"1531","ECPF004","Recanalisation de l'artère subclavière en amont de l'ostium de l'artère vertébrale sans pose d'endoprothèse, par voie artérielle transcutanée","ATM"
"1532","ECPF005","Recanalisation de l'artère subclavière en amont de l'ostium de l'artère vertébrale avec pose d'endoprothèse, par voie artérielle transcutanée","ATM"
"1533","ECFA001","Thromboendartériectomie du tronc artériel brachiocéphalique, par thoracotomie","ADC"
"1534","DGCA032","Pontage entre l'aorte et le tronc artériel brachiocéphalique, par thoracotomie","ADC"
"1535","ECKA001","Remplacement du tronc artériel brachiocéphalique, par thoracotomie","ADC"
"1536","ECSA002","Ligature du tronc artériel brachiocéphalique, par thoracotomie","ADC"
"1537","EBCA009","Suture de plaie de l'artère carotide commune, par cervicotomie","ADC"
"1538","EBCA003","Suture de plaie de l'artère carotide commune, par cervicotomie et par thoracotomie","ADC"
"1539","EBAF004","Dilatation intraluminale de l'artère carotide commune cervicale sans pose d'endoprothèse, par voie artérielle transcutanée","ATM"
"1540","EBAF010","Dilatation intraluminale de l'artère carotide commune cervicale avec pose d'endoprothèse, par voie artérielle transcutanée","ATM"
"1541","EBFA005","Thrombectomie de l'artère carotide commune, par cervicotomie","ADC"
"1542","EBFA003","Thromboendartériectomie de l'artère carotide commune, par cervicotomie","ADC"
"1543","EBFA010","Thromboendartériectomie de l'artère carotide commune, par cervicotomie et par thoracotomie","ADC"
"1544","EBCA015","Pontage aortocarotidien, par cervicotomie et par thoracotomie","ADC"
"1545","EBCA004","Pontage croisé intercarotidien, par cervicotomie","ADC"
"1546","EBCA008","Pontage homolatéral carotidosubclavier ou carotidoaxillaire, par cervicotomie","ADC"
"1547","EBCA001","Pontage croisé carotidosubclavier ou carotidoaxillaire, par cervicotomie","ADC"
"1548","EBCA017","Pontage entre l'artère carotide commune et l'artère carotide interne homolatérale, par cervicotomie","ADC"
"1549","EBEA005","Réimplantation de l'artère carotide commune dans l'artère subclavière, par cervicotomie","ADC"
"1550","EBEA003","Réimplantation de l'artère subclavière dans l'artère carotide commune, par cervicotomie","ADC"
"1551","EBKA001","Remplacement de l'artère carotide commune, par cervicotomie","ADC"
"1552","EBKA003","Remplacement de l'artère carotide commune, par cervicotomie et par thoracotomie","ADC"
"1553","EBFA021","Résection-anastomose de l'artère carotide commune, par cervicotomie","ADC"
"1554","EBFA020","Résection-anastomose de l'artère carotide commune, par cervicotomie et par thoracotomie","ADC"
"1555","EBSA005","Occlusion progressive de l'artère carotide commune ou de l'artère carotide interne par pose de clamp, par cervicotomie","ADC"
"1556","EBSA003","Ligature de l'artère carotide commune, par cervicotomie","ADC"
"1557","EBAF009","Dilatation intraluminale de la bifurcation carotidienne sans pose d'endoprothèse, par voie artérielle transcutanée","ATM"
"1558","EBAF011","Dilatation intraluminale de la bifurcation carotidienne avec pose d'endoprothèse, par voie artérielle transcutanée","ATM"
"1559","EBAA002","Angioplastie d'élargissement de la bifurcation carotidienne sans thromboendartériectomie, par cervicotomie","ADC"
"1560","EBFA012","Thromboendartériectomie de la bifurcation carotidienne sans angioplastie d'élargissement, par cervicotomie sans dérivation vasculaire","ADC"
"1561","EBFA006","Thromboendartériectomie de la bifurcation carotidienne sans angioplastie d'élargissement, par cervicotomie avec dérivation vasculaire","ADC"
"1562","EBFA016","Thromboendartériectomie de la bifurcation carotidienne avec angioplastie d'élargissement, par cervicotomie sans dérivation vasculaire","ADC"
"1563","EBFA002","Thromboendartériectomie de la bifurcation carotidienne avec angioplastie d'élargissement, par cervicotomie avec dérivation vasculaire","ADC"
"1564","EBFA008","Thromboendartériectomie de la bifurcation carotidienne par retournement, par cervicotomie sans dérivation vasculaire","ADC"
"1565","EBFA015","Thromboendartériectomie de la bifurcation carotidienne par retournement, par cervicotomie avec dérivation vasculaire","ADC"
"1566","EBFA001","Exérèse d'une tumeur du glomus [corpuscule] carotidien avec conservation de l'axe carotidien, par cervicotomie","ADC"
"1567","EBFA011","Exérèse d'une tumeur du glomus [corpuscule] carotidien avec reconstruction de l'axe carotidien, par cervicotomie","ADC"
