CIM_COD;CIM_LIB;ALD_030_COD;CAT_CIM_COD;VER_CPT_COD;VER_CPT_DTE;CAT_TUM_COD
C068;Tumeur maligne à localisations contiguës de la bouche, parties autres et non précisées;30;C06;V8.0;02JUL2017:00:00:00;1.0
C069;Tumeur maligne de la bouche, sans précision;30;C06;V8.0;02JUL2017:00:00:00;1.0
C07;Tumeur maligne de la glande parotide;30;C07;V8.0;02JUL2017:00:00:00;1.0
C08;Tumeur maligne des glandes salivaires principales, autres et non précisées;30;C08;V8.0;02JUL2017:00:00:00;1.0
C080;Tumeur maligne de la glande sous-maxillaire;30;C08;V8.0;02JUL2017:00:00:00;1.0
C081;Tumeur maligne de la glande sublinguale;30;C08;V8.0;02JUL2017:00:00:00;1.0
C088;Tumeur maligne à localisations contiguës des glandes salivaires principales;30;C08;V8.0;02JUL2017:00:00:00;1.0
C089;Tumeur maligne de la glande salivaire (principale), sans précision;30;C08;V8.0;02JUL2017:00:00:00;1.0
C09;Tumeur maligne de l'amygdale;30;C09;V8.0;02JUL2017:00:00:00;1.0
C090;Tumeur maligne de la fosse amygdalienne;30;C09;V8.0;02JUL2017:00:00:00;1.0
C091;Tumeur maligne du pilier de l'amygdale (antérieur) (postérieur);30;C09;V8.0;02JUL2017:00:00:00;1.0
C098;Tumeur maligne à localisations contiguës de l'amygdale;30;C09;V8.0;02JUL2017:00:00:00;1.0
C099;Tumeur maligne de l'amygdale, sans précision;30;C09;V8.0;02JUL2017:00:00:00;1.0
C10;Tumeur maligne de l'oropharynx;30;C10;V8.0;02JUL2017:00:00:00;1.0
C100;Tumeur maligne du sillon glosso-épiglottique;30;C10;V8.0;02JUL2017:00:00:00;1.0
C101;Tumeur maligne de la face antérieure de l'épiglotte;30;C10;V8.0;02JUL2017:00:00:00;1.0
C102;Tumeur maligne de la paroi latérale de l'oropharynx;30;C10;V8.0;02JUL2017:00:00:00;1.0
C103;Tumeur maligne de la paroi postérieure de l'oropharynx;30;C10;V8.0;02JUL2017:00:00:00;1.0
C104;Tumeur maligne de la fente branchiale;30;C10;V8.0;02JUL2017:00:00:00;1.0
C108;Tumeur maligne à localisations contiguës de l'oropharynx;30;C10;V8.0;02JUL2017:00:00:00;1.0
C109;Tumeur maligne de l'oropharynx, sans précision;30;C10;V8.0;02JUL2017:00:00:00;1.0
C11;Tumeur maligne du rhinopharynx;30;C11;V8.0;02JUL2017:00:00:00;1.0
C110;Tumeur maligne de la paroi supérieure du rhinopharynx;30;C11;V8.0;02JUL2017:00:00:00;1.0
C111;Tumeur maligne de la paroi postérieure du rhinopharynx;30;C11;V8.0;02JUL2017:00:00:00;1.0
C112;Tumeur maligne de la paroi latérale du rhinopharynx;30;C11;V8.0;02JUL2017:00:00:00;1.0
C113;Tumeur maligne de la paroi antérieure du rhinopharynx;30;C11;V8.0;02JUL2017:00:00:00;1.0
C118;Tumeur maligne à localisations contiguës de rhinopharynx;30;C11;V8.0;02JUL2017:00:00:00;1.0
C119;Tumeur maligne du rhinopharynx, sans précision;30;C11;V8.0;02JUL2017:00:00:00;1.0
C12;Tumeur maligne du sinus piriforme;30;C12;V8.0;02JUL2017:00:00:00;1.0
C13;Tumeur maligne de l'hypopharynx;30;C13;V8.0;02JUL2017:00:00:00;1.0
C130;Tumeur maligne de la région rétro-cricoïdienne;30;C13;V8.0;02JUL2017:00:00:00;1.0
C131;Tumeur maligne du repli ary-épiglottique, (versant hypopharyngé);30;C13;V8.0;02JUL2017:00:00:00;1.0
C132;Tumeur maligne de la paroi postérieure de l'hypopharynx;30;C13;V8.0;02JUL2017:00:00:00;1.0
C138;Tumeur maligne à localisations contiguës de l'hypopharynx;30;C13;V8.0;02JUL2017:00:00:00;1.0
C139;Tumeur maligne de l'hypopharynx, sans précision;30;C13;V8.0;02JUL2017:00:00:00;1.0
C14;Tumeur maligne de la lèvre, de la cavité buccale et du pharynx, de sièges autres et mal définis;30;C14;V8.0;02JUL2017:00:00:00;1.0
B967;Clostridium perfringens, cause de maladies classées dans d'autres chapitres;99;B96;V8.0;02JUL2017:00:00:00;
B968;Autres agents bactériens précisés, cause de maladies classées dans d'autres chapitres;99;B96;V8.0;02JUL2017:00:00:00;
B97;Virus, cause de maladies classées dans d'autres chapitres;99;B97;V8.0;02JUL2017:00:00:00;
B970;Adénovirus, cause de maladies classées dans d'autres chapitres;99;B97;V8.0;02JUL2017:00:00:00;
B971;Entérovirus, cause de maladies classées dans d'autres chapitres;99;B97;V8.0;02JUL2017:00:00:00;
B972;Coronavirus, cause de maladies classées dans d'autres chapitres;99;B97;V8.0;02JUL2017:00:00:00;
B769;Ankylostomiase, sans précision;99;B76;V8.0;02JUL2017:00:00:00;
B77;Ascaridiase;99;B77;V8.0;02JUL2017:00:00:00;
B770;Ascaridiase avec complications intestinales;99;B77;V8.0;02JUL2017:00:00:00;
B778;Ascaridiase avec autres complications;99;B77;V8.0;02JUL2017:00:00:00;
B779;Ascaridiase, sans précision;99;B77;V8.0;02JUL2017:00:00:00;
B78;Anguillulose [strongyloïdose];99;B78;V8.0;02JUL2017:00:00:00;
B780;Anguillulose intestinale;99;B78;V8.0;02JUL2017:00:00:00;
B781;Anguillulose cutanée;99;B78;V8.0;02JUL2017:00:00:00;
B787;Anguillulose disséminée;99;B78;V8.0;02JUL2017:00:00:00;
B789;Anguillulose, sans précision;99;B78;V8.0;02JUL2017:00:00:00;
B79;Infection à Trichuris trichiuria;99;B79;V8.0;02JUL2017:00:00:00;
B80;Oxyurose;99;B80;V8.0;02JUL2017:00:00:00;
B81;Autres helminthiases intestinales, non classées ailleurs;99;B81;V8.0;02JUL2017:00:00:00;
B810;Anisakiase;99;B81;V8.0;02JUL2017:00:00:00;
B811;Capillariose intestinale;99;B81;V8.0;02JUL2017:00:00:00;
B812;Trichostrongylose;99;B81;V8.0;02JUL2017:00:00:00;
B813;Angiostrongyloïdose [angiostrongylose] intestinale;99;B81;V8.0;02JUL2017:00:00:00;
B814;Helminthiases intestinales mixtes;99;B81;V8.0;02JUL2017:00:00:00;
B818;Autres helminthiases intestinales précisées;99;B81;V8.0;02JUL2017:00:00:00;
B82;Parasitose intestinale, sans précision;99;B82;V8.0;02JUL2017:00:00:00;
B820;Helminthiase intestinale, sans précision;99;B82;V8.0;02JUL2017:00:00:00;
B829;Parasitose intestinale, sans précision;99;B82;V8.0;02JUL2017:00:00:00;
B83;Autres helminthiases;99;B83;V8.0;02JUL2017:00:00:00;
B830;Larva migrans viscérale;99;B83;V8.0;02JUL2017:00:00:00;
B831;Gnathostomiase;99;B83;V8.0;02JUL2017:00:00:00;
B832;Angiostrongyloïdose à Parastrongylus cantonensis;99;B83;V8.0;02JUL2017:00:00:00;
B833;Syngamose;99;B83;V8.0;02JUL2017:00:00:00;
B834;Hirudiniase interne;99;B83;V8.0;02JUL2017:00:00:00;
B838;Autres helminthiases précisées;99;B83;V8.0;02JUL2017:00:00:00;
B839;Helminthiase, sans précision;99;B83;V8.0;02JUL2017:00:00:00;
B85;Pédiculose et phtiriase;99;B85;V8.0;02JUL2017:00:00:00;
B850;Pédiculose due à Pediculus humanus capitis;99;B85;V8.0;02JUL2017:00:00:00;
B851;Pédiculose due à Pediculus humanus corporis;99;B85;V8.0;02JUL2017:00:00:00;
B852;Pédiculose, sans précision;99;B85;V8.0;02JUL2017:00:00:00;
B853;Phtiriase;99;B85;V8.0;02JUL2017:00:00:00;
B854;Infestation mixte, pédiculose et phtiriase;99;B85;V8.0;02JUL2017:00:00:00;
B86;Gale;99;B86;V8.0;02JUL2017:00:00:00;
B87;Myiase;99;B87;V8.0;02JUL2017:00:00:00;
B870;Myiase cutanée;99;B87;V8.0;02JUL2017:00:00:00;
B871;Myiase des plaies cutanées;99;B87;V8.0;02JUL2017:00:00:00;
B872;Myiase oculaire;99;B87;V8.0;02JUL2017:00:00:00;
B873;Myiase rhinopharyngée;99;B87;V8.0;02JUL2017:00:00:00;
B874;Myiase auriculaire;99;B87;V8.0;02JUL2017:00:00:00;
B878;Myiase d'autres localisations;99;B87;V8.0;02JUL2017:00:00:00;
B879;Myiase, sans précision;99;B87;V8.0;02JUL2017:00:00:00;
B88;Autres infestations;99;B88;V8.0;02JUL2017:00:00:00;
B880;Autres acariases;99;B88;V8.0;02JUL2017:00:00:00;
B881;Tungose [infestation par puce-chique];99;B88;V8.0;02JUL2017:00:00:00;
B882;Autres infestations par arthropodes;99;B88;V8.0;02JUL2017:00:00:00;
B883;Hirudiniase externe;99;B88;V8.0;02JUL2017:00:00:00;
B888;Autres infestations précisées;99;B88;V8.0;02JUL2017:00:00:00;
B889;Infestation, sans précision;99;B88;V8.0;02JUL2017:00:00:00;
B89;Parasitose, sans précision;99;B89;V8.0;02JUL2017:00:00:00;
B90;Séquelles de tuberculose;99;B90;V8.0;02JUL2017:00:00:00;
B900;Séquelles de tuberculose du système nerveux central;99;B90;V8.0;02JUL2017:00:00:00;
B901;Séquelles de tuberculose génito-urinaire;99;B90;V8.0;02JUL2017:00:00:00;
B902;Séquelles de tuberculose des os et des articulations;99;B90;V8.0;02JUL2017:00:00:00;
B908;Séquelles de tuberculose d'autres organes;99;B90;V8.0;02JUL2017:00:00:00;
B909;Séquelles de tuberculose des voies respiratoires et sans précision;99;B90;V8.0;02JUL2017:00:00:00;
B91;Séquelles de poliomyélite;9;B91;V8.0;02JUL2017:00:00:00;
B92;Séquelles de lèpre;29;B92;V8.0;02JUL2017:00:00:00;
B94;Séquelles de maladies infectieuses et parasitaires, autres et non précisées;99;B94;V8.0;02JUL2017:00:00:00;
B940;Séquelles du trachome;99;B94;V8.0;02JUL2017:00:00:00;
B941;Séquelles d'encéphalite virale;99;B94;V8.0;02JUL2017:00:00:00;
B942;Séquelles d'hépatite virale;99;B94;V8.0;02JUL2017:00:00:00;
B948;Séquelles d'autres maladies infectieuses et parasitaires précisées;99;B94;V8.0;02JUL2017:00:00:00;
B949;Séquelles de maladie infectieuse ou parasitaire, sans précision;99;B94;V8.0;02JUL2017:00:00:00;
B95;Streptocoques et staphylocoques, cause de maladies classées dans d'autres chapitres;99;B95;V8.0;02JUL2017:00:00:00;
B950;Streptocoques, groupe A, cause de maladies classées dans d'autres chapitres;99;B95;V8.0;02JUL2017:00:00:00;
B951;Streptocoques, groupe B, cause de maladies classées dans d'autres chapitres;99;B95;V8.0;02JUL2017:00:00:00;
B952;Streptocoques, groupe D, cause de maladies classées dans d'autres chapitres;99;B95;V8.0;02JUL2017:00:00:00;
B953;Streptococcus pneumoniae, cause de maladies classées dans d'autres chapitres;99;B95;V8.0;02JUL2017:00:00:00;
B954;Autres streptocoques, cause de maladies classées dans d'autres chapitres;99;B95;V8.0;02JUL2017:00:00:00;
B955;Streptocoques non précisés, cause de maladies classées dans d'autres chapitres;99;B95;V8.0;02JUL2017:00:00:00;
B956;Staphylococcus aureus, cause de maladies classées dans d'autres chapitres;99;B95;V8.0;02JUL2017:00:00:00;
B957;Autres staphylocoques, cause de maladies classées dans d'autres chapitres;99;B95;V8.0;02JUL2017:00:00:00;
B958;Staphylocoque non précisé, cause de maladies classées dans d'autres chapitres;99;B95;V8.0;02JUL2017:00:00:00;
B96;Autres agents bactériens précisés, cause de maladies classées dans d'autres chapitres;99;B96;V8.0;02JUL2017:00:00:00;
B960;Mycoplasma pneumoniae, cause de maladies classées dans d'autres chapitres;99;B96;V8.0;02JUL2017:00:00:00;
B961;Klebsiella pneumoniae [subsp.pneumoniae], cause de maladies classées dans d'autres chapitres;99;B96;V8.0;02JUL2017:00:00:00;
B962;Escherichia coli, cause de maladies classées dans d'autres chapitres;99;B96;V8.0;02JUL2017:00:00:00;
B963;Haemophilus influenzae, cause de maladies classées dans d'autres chapitres;99;B96;V8.0;02JUL2017:00:00:00;
B964;Proteus (P.mirabilis) (P.morganii), cause de maladies classées dans d'autres chapitres;99;B96;V8.0;02JUL2017:00:00:00;
B965;Pseudomonas (P.aeruginosa), cause de maladies classées dans d'autres chapitres;99;B96;V8.0;02JUL2017:00:00:00;
B966;Bacillus fragilis, cause de maladies classées dans d'autres chapitres;99;B96;V8.0;02JUL2017:00:00:00;
B681;Infection à Taenia saginata;99;B68;V8.0;02JUL2017:00:00:00;
B689;Infection à Taenia, sans précision;99;B68;V8.0;02JUL2017:00:00:00;
B69;Cysticercose;99;B69;V8.0;02JUL2017:00:00:00;
B690;Cysticercose du système nerveux central;99;B69;V8.0;02JUL2017:00:00:00;
B691;Cysticercose de l'oeil;99;B69;V8.0;02JUL2017:00:00:00;
B698;Cysticercose, autres localisations;99;B69;V8.0;02JUL2017:00:00:00;
B699;Cysticercose, sans précision;99;B69;V8.0;02JUL2017:00:00:00;
B70;Diphyllobothriase et sparganose;99;B70;V8.0;02JUL2017:00:00:00;
B700;Diphyllobothriase;99;B70;V8.0;02JUL2017:00:00:00;
B701;Sparganose;99;B70;V8.0;02JUL2017:00:00:00;
B71;Autres infections à cestodes;99;B71;V8.0;02JUL2017:00:00:00;
B710;Hyménolépiase;99;B71;V8.0;02JUL2017:00:00:00;
B711;Infection à Dipylidium;99;B71;V8.0;02JUL2017:00:00:00;
B718;Autres infections par cestodes, précisées;99;B71;V8.0;02JUL2017:00:00:00;
B719;Infection par cestodes, sans précision;99;B71;V8.0;02JUL2017:00:00:00;
B72;Dracunculose;99;B72;V8.0;02JUL2017:00:00:00;
B73;Onchocercose;99;B73;V8.0;02JUL2017:00:00:00;
B74;Filariose;99;B74;V8.0;02JUL2017:00:00:00;
B740;Filariose à Wuchereria bancrofti;99;B74;V8.0;02JUL2017:00:00:00;
B741;Filariose à Brugia malayi;99;B74;V8.0;02JUL2017:00:00:00;
B742;Filariose à Brugia timori;99;B74;V8.0;02JUL2017:00:00:00;
B743;Loase;99;B74;V8.0;02JUL2017:00:00:00;
B744;Mansonellose;99;B74;V8.0;02JUL2017:00:00:00;
B748;Autres filarioses;99;B74;V8.0;02JUL2017:00:00:00;
B749;Filariose, sans précision;99;B74;V8.0;02JUL2017:00:00:00;
A185;Tuberculose de l'oeil;29;A18;V8.0;02JUL2017:00:00:00;
A186;Tuberculose de l'oreille;29;A18;V8.0;02JUL2017:00:00:00;
A187;Tuberculose des surrénales (E35.1*);29;A18;V8.0;02JUL2017:00:00:00;
A188;Tuberculose d'autres organes précisés;29;A18;V8.0;02JUL2017:00:00:00;
A19;Tuberculose miliaire;29;A19;V8.0;02JUL2017:00:00:00;
A190;Tuberculose miliaire aiguë, localisation unique et précisée;29;A19;V8.0;02JUL2017:00:00:00;
A191;Tuberculose miliaire aiguë, sièges multiples;29;A19;V8.0;02JUL2017:00:00:00;
A192;Tuberculose miliaire aiguë, sans précision;29;A19;V8.0;02JUL2017:00:00:00;
A198;Autres tuberculoses miliaires;29;A19;V8.0;02JUL2017:00:00:00;
A199;Tuberculose miliaire, sans précision;29;A19;V8.0;02JUL2017:00:00:00;
A20;Peste;99;A20;V8.0;02JUL2017:00:00:00;
A200;Peste bubonique;99;A20;V8.0;02JUL2017:00:00:00;
A201;Peste cutanée;99;A20;V8.0;02JUL2017:00:00:00;
A202;Peste pulmonaire;99;A20;V8.0;02JUL2017:00:00:00;
A203;Peste méningée;99;A20;V8.0;02JUL2017:00:00:00;
A207;Peste septique;99;A20;V8.0;02JUL2017:00:00:00;
A208;Autres formes de peste;99;A20;V8.0;02JUL2017:00:00:00;
A209;Peste, sans précision;99;A20;V8.0;02JUL2017:00:00:00;
A21;Tularémie;99;A21;V8.0;02JUL2017:00:00:00;
A210;Tularémie ulcéro-glandulaire;99;A21;V8.0;02JUL2017:00:00:00;
A211;Tularémie oculo-glandulaire;99;A21;V8.0;02JUL2017:00:00:00;
A212;Tularémie pulmonaire;99;A21;V8.0;02JUL2017:00:00:00;
A213;Tularémie gastro-intestinale;99;A21;V8.0;02JUL2017:00:00:00;
A217;Tularémie généralisée;99;A21;V8.0;02JUL2017:00:00:00;
A218;Autres formes de tularémie;99;A21;V8.0;02JUL2017:00:00:00;
A219;Tularémie, sans précision;99;A21;V8.0;02JUL2017:00:00:00;
A22;Charbon;99;A22;V8.0;02JUL2017:00:00:00;
A220;Charbon cutané;99;A22;V8.0;02JUL2017:00:00:00;
A221;Charbon pulmonaire;99;A22;V8.0;02JUL2017:00:00:00;
A222;Charbon gastro-intestinal;99;A22;V8.0;02JUL2017:00:00:00;
A227;Septis charbonneux;99;A22;V8.0;02JUL2017:00:00:00;
A228;Autres formes de charbon;99;A22;V8.0;02JUL2017:00:00:00;
A229;Charbon, sans précision;99;A22;V8.0;02JUL2017:00:00:00;
A23;Brucellose;99;A23;V8.0;02JUL2017:00:00:00;
A230;Brucellose à Brucella melitensis;99;A23;V8.0;02JUL2017:00:00:00;
A231;Brucellose à Brucella abortus;99;A23;V8.0;02JUL2017:00:00:00;
A232;Brucellose à Brucella suis;99;A23;V8.0;02JUL2017:00:00:00;
A233;Brucellose à Brucella canis;99;A23;V8.0;02JUL2017:00:00:00;
A238;Autres brucelloses;99;A23;V8.0;02JUL2017:00:00:00;
A239;Brucellose, sans précision;99;A23;V8.0;02JUL2017:00:00:00;
A24;Morve et mélioïdose;99;A24;V8.0;02JUL2017:00:00:00;
A240;Morve;99;A24;V8.0;02JUL2017:00:00:00;
A241;Mélioïdose aiguë et galopante;99;A24;V8.0;02JUL2017:00:00:00;
A242;Mélioïdose subaiguë et chronique;99;A24;V8.0;02JUL2017:00:00:00;
A243;Autres mélioïdoses;99;A24;V8.0;02JUL2017:00:00:00;
A244;Mélioïdose, sans précision;99;A24;V8.0;02JUL2017:00:00:00;
A25;Fièvres causées par morsure de rat;99;A25;V8.0;02JUL2017:00:00:00;
A250;Spirillose;99;A25;V8.0;02JUL2017:00:00:00;
A251;Streptobacillose;99;A25;V8.0;02JUL2017:00:00:00;
A259;Fièvre causée par morsure de rat, sans précision;99;A25;V8.0;02JUL2017:00:00:00;
A26;Érysipéloïde;99;A26;V8.0;02JUL2017:00:00:00;
A260;Érysipéloïde cutanée;99;A26;V8.0;02JUL2017:00:00:00;
A267;Sepsis à Erysipelothrix;99;A26;V8.0;02JUL2017:00:00:00;
A268;Autres formes d'érysipéloïde;99;A26;V8.0;02JUL2017:00:00:00;
A269;Érysipéloïde, sans précision;99;A26;V8.0;02JUL2017:00:00:00;
A27;Leptospirose;99;A27;V8.0;02JUL2017:00:00:00;
A270;Leptospirose ictéro-hémorragique;99;A27;V8.0;02JUL2017:00:00:00;
A278;Autres formes de leptospirose;99;A27;V8.0;02JUL2017:00:00:00;
A279;Leptospirose, sans précision;99;A27;V8.0;02JUL2017:00:00:00;
A28;Autres anthropozoonoses bactériennes, non classées ailleurs;99;A28;V8.0;02JUL2017:00:00:00;
A280;Pasteurellose;99;A28;V8.0;02JUL2017:00:00:00;
A281;Maladie des griffes du chat;99;A28;V8.0;02JUL2017:00:00:00;
A282;Yersiniose extra-intestinale;99;A28;V8.0;02JUL2017:00:00:00;
A288;Autres anthropozoonoses bactériennes précisées, non classées ailleurs;99;A28;V8.0;02JUL2017:00:00:00;
A289;Anthropozoonose bactérienne, sans précision;99;A28;V8.0;02JUL2017:00:00:00;
A30;Lèpre [maladie de Hansen];29;A30;V8.0;02JUL2017:00:00:00;
A300;Lèpre indéterminée;29;A30;V8.0;02JUL2017:00:00:00;
A301;Lèpre tuberculoïde;29;A30;V8.0;02JUL2017:00:00:00;
A302;Lèpre tuberculoïde de type intermédiaire atypique;29;A30;V8.0;02JUL2017:00:00:00;
A303;Lèpre de type intermédiaire atypique;29;A30;V8.0;02JUL2017:00:00:00;
A304;Lèpre lépromateuse de type intermédiaire atypique;29;A30;V8.0;02JUL2017:00:00:00;
A305;Lèpre lépromateuse;29;A30;V8.0;02JUL2017:00:00:00;
A308;Autres formes de lèpre;29;A30;V8.0;02JUL2017:00:00:00;
A309;Lèpre, sans précision;29;A30;V8.0;02JUL2017:00:00:00;
A31;Infections dues à d'autres mycobactéries;99;A31;V8.0;02JUL2017:00:00:00;
A310;Infection pulmonaire à mycobactéries atypiques;99;A31;V8.0;02JUL2017:00:00:00;
A311;Infection cutanée à mycobacteries atypiques;99;A31;V8.0;02JUL2017:00:00:00;
A318;Autres infections à mycobacteries atypiques;99;A31;V8.0;02JUL2017:00:00:00;
A319;Infection à mycobacteries atypiques, sans précision;99;A31;V8.0;02JUL2017:00:00:00;
A32;Listériose;99;A32;V8.0;02JUL2017:00:00:00;
A320;Listériose cutanée;99;A32;V8.0;02JUL2017:00:00:00;
A321;Méningite et méningo-encéphalite listériennes;99;A32;V8.0;02JUL2017:00:00:00;
A327;Sepsis à Listeria;99;A32;V8.0;02JUL2017:00:00:00;
A328;Autres formes de listériose;99;A32;V8.0;02JUL2017:00:00:00;
A329;Listériose, sans précision;99;A32;V8.0;02JUL2017:00:00:00;
A33;Tétanos néonatal;99;A33;V8.0;02JUL2017:00:00:00;
A34;Tétanos obstétrical;99;A34;V8.0;02JUL2017:00:00:00;
A35;Autres formes de tétanos;99;A35;V8.0;02JUL2017:00:00:00;
A36;Diphtérie;99;A36;V8.0;02JUL2017:00:00:00;
A360;Diphtérie pharyngée;99;A36;V8.0;02JUL2017:00:00:00;
A361;Diphtérie rhinopharyngée;99;A36;V8.0;02JUL2017:00:00:00;
A362;Diphtérie laryngée;99;A36;V8.0;02JUL2017:00:00:00;
A363;Diphtérie cutanée;99;A36;V8.0;02JUL2017:00:00:00;
A368;Autres formes de diphtérie;99;A36;V8.0;02JUL2017:00:00:00;
A369;Diphtérie, sans précision;99;A36;V8.0;02JUL2017:00:00:00;
A37;Coqueluche;99;A37;V8.0;02JUL2017:00:00:00;
A370;Coqueluche à Bordetella pertussis;99;A37;V8.0;02JUL2017:00:00:00;
A371;Coqueluche à Bordetella parapertussis;99;A37;V8.0;02JUL2017:00:00:00;
A378;Coqueluche due à d'autres espèces de Bordetella;99;A37;V8.0;02JUL2017:00:00:00;
A379;Coqueluche, sans précision;99;A37;V8.0;02JUL2017:00:00:00;
A38;Scarlatine;99;A38;V8.0;02JUL2017:00:00:00;
A39;Infection à méningocoques;99;A39;V8.0;02JUL2017:00:00:00;
A390;Méningite à méningocoques (G01*);99;A39;V8.0;02JUL2017:00:00:00;
A391;Syndrome de Waterhouse-Friderichsen (E35.1*);99;A39;V8.0;02JUL2017:00:00:00;
A392;Méningococcémie aiguë;99;A39;V8.0;02JUL2017:00:00:00;
A393;Méningococcémie chronique;99;A39;V8.0;02JUL2017:00:00:00;
A394;Méningococcémie, sans précision;99;A39;V8.0;02JUL2017:00:00:00;
A395;Cardite à méningocoques;99;A39;V8.0;02JUL2017:00:00:00;
A398;Autres infections à méningocoques;99;A39;V8.0;02JUL2017:00:00:00;
A399;Infection méningococcique, sans précision;99;A39;V8.0;02JUL2017:00:00:00;
A40;Sepsis à streptocoques;99;A40;V8.0;02JUL2017:00:00:00;
A400;Sepsis à streptocoques, groupe A;99;A40;V8.0;02JUL2017:00:00:00;
A401;Sepsis à streptocoques, groupe B;99;A40;V8.0;02JUL2017:00:00:00;
A402;Sepsis à streptocoques, groupe D;99;A40;V8.0;02JUL2017:00:00:00;
A403;Sepsis à Streptococcus pneumoniae;99;A40;V8.0;02JUL2017:00:00:00;
A408;Autres sepsis à streptocoques;99;A40;V8.0;02JUL2017:00:00:00;
A409;Sepsis à streptocoques, sans précision;99;A40;V8.0;02JUL2017:00:00:00;
A41;Autres sepsis;99;A41;V8.0;02JUL2017:00:00:00;
A410;Sepsis à staphylocoques dorés;99;A41;V8.0;02JUL2017:00:00:00;
A411;Sepsis à d'autres staphylocoques précisés;99;A41;V8.0;02JUL2017:00:00:00;
A412;Sepsis à staphylocoques non précisés;99;A41;V8.0;02JUL2017:00:00:00;
A413;Sepsis à Haemophilus influenzae;99;A41;V8.0;02JUL2017:00:00:00;
A414;Sepsis à micro-organismes anaérobies;99;A41;V8.0;02JUL2017:00:00:00;
A415;Sepsis à d'autres micro-organismes Gram négatif;99;A41;V8.0;02JUL2017:00:00:00;
A418;Autres Sepsis précisés;99;A41;V8.0;02JUL2017:00:00:00;
A419;Sepsis, sans précision;99;A41;V8.0;02JUL2017:00:00:00;
C140;Tumeur maligne du pharynx, sans précision;30;C14;V8.0;02JUL2017:00:00:00;1.0
C141;Tumeur maligne du laryngopharynx;30;C14;V8.0;02JUL2017:00:00:00;1.0
C142;Tumeur maligne de l'anneau de Waldeyer;30;C14;V8.0;02JUL2017:00:00:00;1.0
C148;Tumeur maligne à localisations contiguës de la lèvre, de la cavité buccale et du pharynx;30;C14;V8.0;02JUL2017:00:00:00;1.0
C15;Tumeur maligne de l'oesophage;30;C15;V8.0;02JUL2017:00:00:00;2.0
C150;Tumeur maligne de l'oesophage cervical;30;C15;V8.0;02JUL2017:00:00:00;2.0
C151;Tumeur maligne de l'oesophage thoracique;30;C15;V8.0;02JUL2017:00:00:00;2.0
C152;Tumeur maligne de l'oesophage abdominal;30;C15;V8.0;02JUL2017:00:00:00;2.0
C153;Tumeur maligne du tiers supérieur de l'oesophage;30;C15;V8.0;02JUL2017:00:00:00;2.0
C154;Tumeur maligne du tiers moyen de l'oesophage;30;C15;V8.0;02JUL2017:00:00:00;2.0
C155;Tumeur maligne du tiers inférieur de l'oesophage;30;C15;V8.0;02JUL2017:00:00:00;2.0
C158;Tumeur maligne à localisations contiguës de l'oesophage;30;C15;V8.0;02JUL2017:00:00:00;2.0
C159;Tumeur maligne de l'oesophage, sans précision;30;C15;V8.0;02JUL2017:00:00:00;2.0
C16;Tumeur maligne de l'estomac;30;C16;V8.0;02JUL2017:00:00:00;3.0
C160;Tumeur maligne du cardia;30;C16;V8.0;02JUL2017:00:00:00;3.0
C161;Tumeur maligne du fundus;30;C16;V8.0;02JUL2017:00:00:00;3.0
C162;Tumeur maligne du corps de l'estomac;30;C16;V8.0;02JUL2017:00:00:00;3.0
C163;Tumeur maligne de l'antre pylorique;30;C16;V8.0;02JUL2017:00:00:00;3.0
C164;Tumeur maligne du pylore;30;C16;V8.0;02JUL2017:00:00:00;3.0
C165;Tumeur maligne de la petite courbure de l'estomac, sans précision;30;C16;V8.0;02JUL2017:00:00:00;3.0
C166;Tumeur maligne de la grande courbure de l'estomac, sans précision;30;C16;V8.0;02JUL2017:00:00:00;3.0
C168;Tumeur maligne à localisations contiguës de l'estomac;30;C16;V8.0;02JUL2017:00:00:00;3.0
C169;Tumeur maligne de l'estomac, sans précision;30;C16;V8.0;02JUL2017:00:00:00;3.0
C17;Tumeur maligne de l'intestin grêle;30;C17;V8.0;02JUL2017:00:00:00;99.0
C170;Tumeur maligne du duodénum;30;C17;V8.0;02JUL2017:00:00:00;99.0
C171;Tumeur maligne du jéjunum;30;C17;V8.0;02JUL2017:00:00:00;99.0
C172;Tumeur maligne de l'iléon;30;C17;V8.0;02JUL2017:00:00:00;99.0
C173;Tumeur maligne du diverticule de Meckel;30;C17;V8.0;02JUL2017:00:00:00;99.0
C178;Tumeur maligne à localisations contiguës de l'intestin grêle;30;C17;V8.0;02JUL2017:00:00:00;99.0
C179;Tumeur maligne de l'intestin grêle, sans précision;30;C17;V8.0;02JUL2017:00:00:00;99.0
C18;Tumeur maligne du côlon;30;C18;V8.0;02JUL2017:00:00:00;4.0
C180;Tumeur maligne du cæcum;30;C18;V8.0;02JUL2017:00:00:00;4.0
C181;Tumeur maligne de l'appendice;30;C18;V8.0;02JUL2017:00:00:00;4.0
C182;Tumeur maligne du côlon ascendant;30;C18;V8.0;02JUL2017:00:00:00;4.0
C183;Tumeur maligne de l'angle droit du côlon;30;C18;V8.0;02JUL2017:00:00:00;4.0
C184;Tumeur maligne du côlon transverse;30;C18;V8.0;02JUL2017:00:00:00;4.0
C185;Tumeur maligne de l'angle gauche du côlon;30;C18;V8.0;02JUL2017:00:00:00;4.0
